,FHR
0,143.75
1,143.75
2,143.75
3,145.25
4,145.25
5,145.25
6,145.75
7,145.75
8,145.75
9,145.75
10,145.75
11,145.75
12,145.75
13,145.75
14,145.75
15,145.75
16,146.0
17,145.5
18,145.5
19,145.5
20,143.25
21,143.25
22,145.0
23,145.0
24,145.0
25,149.0
26,148.25
27,148.25
28,148.25
29,147.75
30,147.75
31,147.75
32,146.75
33,146.75
34,146.75
35,146.0
36,146.0
37,146.25
38,146.25
39,152.75
40,152.75
41,154.5
42,154.5
43,155.25
44,160.25
45,160.25
46,160.25
47,164.0
48,164.75
49,164.75
50,164.75
51,165.0
52,165.0
53,165.0
54,165.0
55,144.5
56,144.5
57,145.5
58,145.5
59,144.75
60,144.75
61,144.75
62,144.25
63,143.75
64,143.75
65,142.25
66,142.25
67,142.0
68,142.5
69,142.5
70,142.5
71,142.5
72,142.0
73,142.0
74,142.25
75,140.25
76,140.25
77,139.0
78,139.0
79,139.25
80,139.25
81,139.25
82,137.25
83,137.25
84,137.25
85,137.25
86,137.25
87,137.0
88,137.0
89,138.75
90,138.75
91,139.25
92,139.25
93,139.25
94,141.5
95,142.0
96,142.0
97,142.75
98,142.75
99,143.0
100,143.0
101,142.5
102,142.5
103,141.25
104,139.75
105,139.75
106,139.0
107,139.0
108,140.0
109,140.0
110,140.5
111,140.0
112,140.0
113,141.0
114,141.0
115,141.25
116,139.75
117,139.75
118,140.75
119,140.75
120,140.25
121,140.25
122,140.25
123,141.0
124,141.0
125,141.0
126,140.25
127,140.25
128,139.0
129,139.0
130,138.25
131,138.25
132,137.75
133,137.75
134,137.0
135,136.5
136,136.5
137,137.0
138,137.0
139,137.0
140,137.25
141,137.25
142,136.0
143,134.75
144,134.75
145,134.75
146,134.75
147,133.75
148,133.75
149,133.75
150,133.75
151,132.5
152,132.5
153,132.5
154,132.5
155,132.5
156,132.5
157,133.25
158,133.25
159,133.25
160,133.75
161,133.75
162,135.0
163,135.0
164,135.0
165,135.0
166,135.25
167,135.25
168,135.0
169,135.5
170,135.5
171,137.25
172,137.25
173,137.75
174,138.25
175,138.25
176,137.25
177,137.25
178,136.25
179,136.25
180,135.75
181,135.75
182,135.0
183,135.25
184,135.25
185,135.5
186,135.5
187,135.5
188,135.5
189,136.0
190,136.5
191,136.5
192,137.0
193,137.0
194,138.0
195,138.0
196,137.75
197,137.75
198,137.75
199,137.75
200,137.25
201,137.25
202,137.25
203,137.5
204,137.5
205,137.5
206,137.5
207,135.75
208,135.75
209,131.5
210,131.5
211,131.25
212,131.25
213,132.25
214,132.25
215,132.5
216,132.5
217,132.5
218,132.5
219,132.25
220,133.0
221,133.0
222,134.5
223,134.5
224,135.5
225,135.5
226,135.5
227,135.5
228,135.5
229,135.5
230,133.5
231,133.5
232,133.5
233,133.5
234,135.0
235,136.5
236,136.5
237,136.75
238,136.75
239,136.0
240,136.0
241,136.5
242,136.5
243,137.25
244,137.25
245,137.25
246,138.5
247,138.5
248,138.75
249,138.75
250,138.25
251,138.25
252,138.25
253,138.25
254,138.25
255,139.0
256,139.0
257,139.25
258,139.25
259,140.0
260,140.0
261,140.0
262,140.0
263,140.0
264,140.25
265,140.25
266,139.5
267,139.5
268,139.5
269,139.0
270,139.0
271,138.75
272,138.75
273,138.5
274,138.5
275,138.5
276,138.5
277,139.75
278,139.75
279,140.0
280,140.0
281,141.0
282,141.0
283,141.5
284,142.0
285,142.0
286,142.25
287,142.25
288,142.25
289,142.25
290,142.25
291,142.75
292,142.75
293,143.5
294,143.5
295,143.5
296,143.0
297,143.0
298,142.75
299,142.75
300,142.75
301,143.0
302,143.0
303,143.25
304,143.25
305,143.25
306,143.0
307,143.0
308,142.0
309,142.0
310,141.5
311,141.0
312,141.0
313,141.25
314,141.25
315,142.0
316,144.25
317,144.25
318,144.25
319,144.25
320,143.75
321,144.25
322,144.25
